order_month,orders,late_rate,order_month_str
2016-09,1,100.0,2016-09
2016-10,262,0.8,2016-10
2016-12,1,0.0,2016-12
2017-01,739,2.8,2017-01
2017-02,1631,2.6,2017-02
2017-03,2527,4.5,2017-03
2017-04,2290,6.4,2017-04
2017-05,3517,2.8,2017-05
2017-06,3111,3.0,2017-06
2017-07,3842,2.7,2017-07
2017-08,4165,2.9,2017-08
2017-09,4117,4.3,2017-09
2017-10,4446,4.0,2017-10
2017-11,7237,12.3,2017-11
2017-12,5461,7.3,2017-12
2018-01,7013,5.6,2018-01
2018-02,6507,14.0,2018-02
2018-03,6948,18.7,2018-03
2018-04,6752,4.4,2018-04
2018-05,6722,6.5,2018-05
2018-06,6072,1.2,2018-06
2018-07,6118,3.3,2018-07
2018-08,6330,6.1,2018-08
