category,total_orders,avg_seller_processing,avg_logistics,late_rate
office_furniture,1236,9.9,9.7,8.0
fashion_shoes,229,5.1,9.6,4.4
fashio_female_clothing,36,4.6,7.3,5.6
furniture_bedroom,89,4.2,8.8,6.7
home_appliances_2,225,4.1,8.8,6.2
fashion_male_clothing,105,4.1,7.6,3.8
home_construction,464,4.0,8.6,6.2
fashion_underwear_beach,116,3.8,9.3,9.5
diapers_and_hygiene,25,3.7,5.9,0.0
art,189,3.5,6.9,6.3
consoles_games,1005,3.5,9.2,5.9
fixed_telephony,209,3.4,8.1,4.3
air_conditioning,241,3.3,7.5,3.7
furniture_living_room,404,3.3,9.6,7.2
market_place,266,3.3,8.1,4.1
furniture_decor,6163,3.2,8.9,7.1
computers_accessories,6469,3.1,9.1,6.3
kitchen_dining_laundry_garden_furniture,237,3.1,7.9,4.6
music,37,3.0,7.8,5.4
telephony,4051,3.0,9.0,7.1
christmas_supplies,123,3.0,11.1,7.3
baby,2741,2.9,8.8,8.0
computers,173,2.9,9.9,4.6
musical_instruments,601,2.9,9.3,7.7
tablets_printing_image,75,2.9,8.9,4.0
construction_tools_safety,152,2.8,7.9,2.6
flowers,28,2.8,7.7,3.6
pet_shop,1674,2.7,7.8,5.0
garden_tools,3394,2.6,10.0,6.5
audio,341,2.6,10.0,11.7
agro_industry_and_commerce,177,2.6,7.9,4.0
stationery,2234,2.6,9.3,6.5
costruction_tools_garden,183,2.6,8.6,5.5
signaling_and_security,137,2.6,7.2,3.6
housewares,5655,2.6,7.6,5.3
drinks,284,2.6,6.8,5.3
construction_tools_lights,228,2.6,6.1,6.6
bed_bath_table,9071,2.6,9.4,7.4
books_general_interest,488,2.6,8.0,6.4
health_beauty,8562,2.6,8.6,7.4
food_drink,218,2.5,7.5,3.7
home_appliances,744,2.5,7.9,4.4
perfumery,3063,2.5,8.5,6.5
cds_dvds_musicals,12,2.4,7.7,0.0
auto,3774,2.4,8.9,7.2
dvds_blu_ray,56,2.4,9.6,7.1
watches_gifts,5430,2.4,9.5,7.3
cool_stuff,3499,2.4,9.0,5.8
sports_leisure,7444,2.3,9.0,6.5
home_confort,368,2.3,10.3,9.5
electronics,2488,2.3,9.7,7.6
toys,3748,2.3,8.4,6.1
industry_commerce_and_business,226,2.3,7.7,6.6
small_appliances,600,2.2,7.9,4.7
books_imported,49,2.2,4.7,2.0
furniture_mattress_and_upholstery,37,2.2,11.2,13.5
small_appliances_home_oven_and_coffee,72,2.2,6.9,5.6
costruction_tools_tools,94,2.2,8.8,5.3
fashion_bags_accessories,1802,2.1,8.2,5.5
fashion_sport,24,2.0,7.3,4.2
construction_tools_construction,723,2.0,7.9,7.2
home_comfort_2,21,1.9,12.3,14.3
arts_and_craftmanship,22,1.8,3.0,4.5
books_technical,254,1.8,8.0,8.3
party_supplies,38,1.7,6.3,0.0
cine_photo,63,1.6,7.9,6.3
food,431,1.5,7.4,7.0
security_and_services,2,1.5,13.0,0.0
luggage_accessories,1004,1.5,8.4,4.2
fashion_childrens_clothes,7,1.1,6.4,0.0
la_cuisine,11,0.9,5.2,0.0
