customer_state,total_orders,late_orders,delay_rate,avg_delay_when_late,avg_review
AL,394,82,20.8,9.7,3.86
MA,711,122,17.2,10.5,3.83
SE,334,50,15.0,16.4,3.91
PI,471,65,13.8,13.5,3.99
CE,1272,174,13.7,15.0,3.94
RR,41,5,12.2,36.4,3.9
BA,3229,384,11.9,11.9,3.93
RJ,12209,1456,11.9,13.5,3.96
PA,933,100,10.7,12.9,3.91
ES,1969,205,10.4,10.3,4.08
PB,512,52,10.2,9.4,4.08
TO,273,27,9.9,6.5,4.15
MS,699,68,9.7,8.3,4.16
PE,1579,149,9.4,11.7,4.08
RN,471,43,9.1,14.7,4.15
SC,3519,284,8.1,8.0,4.13
GO,1946,124,6.4,11.2,4.1
RS,5324,321,6.0,10.2,4.19
MT,879,51,5.8,10.0,4.15
DF,2070,118,5.7,7.4,4.13
MG,11282,505,4.5,8.4,4.19
SP,40260,1785,4.4,8.3,4.25
PR,4900,194,4.0,8.2,4.24
AC,80,3,3.8,18.7,4.09
AP,66,2,3.0,72.5,4.24
RO,242,7,2.9,5.6,4.17
AM,144,4,2.8,30.2,4.24
